message_id,datetime,residence_id,text,text_clean,channel,has_media,language,language_confidence,priority_rules,rule_match,is_urgent_rules,category,category_match
MSG_6RIDLOFAS1EK,2026-01-15 07:26:07,RES_FES_ATLAS,C’est quoi la procédure pour réserver la salle polyvalente ?,c'est quoi la procédure pour réserver la salle polyvalente ?,whatsapp,0,fr,0.8611315324067044,P3,DEFAULT,0,other,CAT_DEFAULT
MSG_6TA7YPP5ZP7R,2026-01-07 20:10:21,RES_FES_ZAYTUNA,"lgarage bab ma kayt7ellch, 7abssna",lgarage bab ma kayt7ellch 7abssna,whatsapp,0,darija,0.9101453333107586,P3,DEFAULT,0,garage_access,CAT_GARAGE_ACCESS
MSG_SUSMESJT2JPN,2026-01-12 19:28:10,RES_FES_ANDALOUS,C’est quoi la procédure pour réserver la salle polyvalente ?,c'est quoi la procédure pour réserver la salle polyvalente ?,whatsapp,0,fr,0.8611315324067044,P3,DEFAULT,0,other,CAT_DEFAULT
MSG_CZO2SUG5HCBB,2026-01-06 19:52:02,RES_RABAT_RIHAB,Quelqu’un est garé sur ma place F-09. Pouvez-vous vérifier ça devient dangereux ?,quelqu'un est garé sur ma place f-09. pouvez-vous vérifier ça devient dangereux ?,whatsapp,0,fr,0.8482987414795938,P3,DEFAULT,0,other,CAT_DEFAULT
MSG_46AEXL68J0NM,2025-12-25 20:37:26,RES_CASA_MARINA,Quelqu’un est garé sur ma place F-09. Pouvez-vous vérifier depuis ce matin ?,quelqu'un est garé sur ma place f-09. pouvez-vous vérifier depuis ce matin ?,whatsapp,0,fr,0.8495011557541133,P3,DEFAULT,0,other,CAT_DEFAULT
MSG_6FF7SO8W5038,2025-12-30 20:20:58,RES_CASA_MARINA,C’est quoi la procédure pour réserver la salle polyvalente ?,c'est quoi la procédure pour réserver la salle polyvalente ?,whatsapp,0,fr,0.8611315324067044,P3,DEFAULT,0,other,CAT_DEFAULT
MSG_OF0ONJPI163Y,2026-01-03 03:40:21,RES_RABAT_RIHAB,C’est quoi la procédure pour réserver la salle polyvalente ?,c'est quoi la procédure pour réserver la salle polyvalente ?,whatsapp,0,fr,0.8611315324067044,P3,DEFAULT,0,other,CAT_DEFAULT
MSG_XW1VZC7D2KD1,2026-01-10 13:55:46,RES_CASA_MARINA,C’est quoi la procédure pour réserver la salle polyvalente ?,c'est quoi la procédure pour réserver la salle polyvalente ?,whatsapp,0,fr,0.8611315324067044,P3,DEFAULT,0,other,CAT_DEFAULT
MSG_D5050UI22KX7,2026-01-08 03:32:02,RES_CASA_MARINA,À quelle heure passe l’agent de nettoyage normalement ?,à quelle heure passe l'agent de nettoyage normalement ?,whatsapp,0,fr,0.8470683117496007,P3,DEFAULT,0,cleanliness,CAT_CLEANLINESS
MSG_SX43WFSQG8X8,2026-01-12 19:19:20,RES_FES_ZAYTUNA,C’est quoi la procédure pour réserver la salle polyvalente ?,c'est quoi la procédure pour réserver la salle polyvalente ?,whatsapp,0,fr,0.8611315324067044,P3,DEFAULT,0,other,CAT_DEFAULT
MSG_6H0W064W3U1H,2025-12-22 02:42:27,RES_CASA_OASIS,À quelle heure passe l’agent de nettoyage normalement ?,à quelle heure passe l'agent de nettoyage normalement ?,whatsapp,0,fr,0.8470683117496007,P3,DEFAULT,0,cleanliness,CAT_CLEANLINESS
MSG_SFFCXHGNZEI3,2025-12-25 20:02:56,RES_CASA_MARINA,C’est quoi la procédure pour réserver la salle polyvalente ? merci,c'est quoi la procédure pour réserver la salle polyvalente ? merci,whatsapp,0,fr,0.8614989524595199,P3,DEFAULT,0,other,CAT_DEFAULT
MSG_D7OI0PESGBM6,2026-01-12 10:45:37,RES_CASA_MARINA,À quelle heure passe l’agent de nettoyage normalement ?,à quelle heure passe l'agent de nettoyage normalement ?,whatsapp,0,fr,0.8470683117496007,P3,DEFAULT,0,cleanliness,CAT_CLEANLINESS
MSG_5BNN0MCIXDU1,2025-12-26 19:26:00,RES_FES_ATLAS,"lgarage bab ma kayt7ellch, 7abssna",lgarage bab ma kayt7ellch 7abssna,whatsapp,0,darija,0.9101453333107586,P3,DEFAULT,0,garage_access,CAT_GARAGE_ACCESS
MSG_085RNTDR5XYF,2025-12-23 21:52:39,RES_FES_ATLAS,Quelqu’un est garé sur ma place C-21. Pouvez-vous vérifier près du tableau électrique ? 😟,quelqu'un est garé sur ma place c-21. pouvez-vous vérifier près du tableau électrique ?,whatsapp,0,fr,0.8514975541339684,P3,DEFAULT,0,other,CAT_DEFAULT
MSG_WYMX9DJOYOHA,2025-12-23 15:56:41,RES_FES_ATLAS,À quelle heure passe l’agent de nettoyage normalement ?,à quelle heure passe l'agent de nettoyage normalement ?,whatsapp,0,fr,0.8470683117496007,P3,DEFAULT,0,cleanliness,CAT_CLEANLINESS
MSG_5JZ6KF1622VX,2025-12-27 03:01:46,RES_RABAT_RIHAB,Quelqu’un est garé sur ma place D-03. Pouvez-vous vérifier et personne ne répond ?,quelqu'un est garé sur ma place d-03. pouvez-vous vérifier et personne ne répond ?,whatsapp,0,fr,0.8462277802132954,P3,DEFAULT,0,other,CAT_DEFAULT
MSG_438TGBCVARLW,2025-12-26 16:01:52,RES_FES_ZAYTUNA,Quelqu’un est garé sur ma place E-14. Pouvez-vous vérifier et ça sent fort ?,quelqu'un est garé sur ma place e-14. pouvez-vous vérifier et ça sent fort ?,whatsapp,0,fr,0.8387864970430193,P3,DEFAULT,0,other,CAT_DEFAULT
MSG_H55HEWLGJE2A,2025-12-22 08:55:32,RES_CASA_OASIS,À quelle heure passe l’agent de nettoyage normalement ?,à quelle heure passe l'agent de nettoyage normalement ?,whatsapp,0,fr,0.8470683117496007,P3,DEFAULT,0,cleanliness,CAT_CLEANLINESS
